merchant_id,merchant_name,shipping_exceptions,chargeback_notice_reason_code,other
24945,100 THIEVES,"In transit? Put to sleep for 5 days > then 5 days more. If still in transit after 10 days, send category request.",,
18085,4GIFTERS,Ignore shipping,,
,AIRBNB,,Accept chargebacks with Gateway: DIGITAL_RIVER and reason code: worldline.,
5023,ALDO,,Ignore reason code and chargeback notice,
19541,ALIBABA,Ignore Shipping,,
19422,ANT FINANCIAL (ALI EXPRESS),Ignore Shipping,,
18547,AZRIELI,"Accept POD without address, if the recipient name matches the shipping details.",,
20413,BADER,Ignore shipping,"Accept reason code “999”

No notice required (invoice only merchant)",
20412,BADER,Ignore shipping,"Accept reason code “999”

No notice required (invoice only merchant)",
20165,BADER,Ignore shipping,"Accept reason code “999”

No notice required (invoice only merchant)",
27455,BALTINI,,Accept all reason codes (fraud and non-fraud),
27590,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
25703,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
27586,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28377,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28376,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28378,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
5494,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
21816,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
18342,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28513,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28514,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28511,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
28512,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
20272,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
26429,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
5655,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
5676,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
5671,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
5679,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
5678,BANCA SELLA,,Merchant's guarantee expiry period is 30 days (even if the settings say otherwise),
